Mat	E (MeV)	Width	FWHM	FWTM	eHalf	eTen	eDep	raport	scintillations
BGO	0.1	0.5	0.0	0.0	0	0	923554.7004	0.0	7388437602.92
BGO	0.1	1	0.0	0.0	0	0	987420.8654	0.0	7899366923.36
BGO	0.1	2	0.0	0.0	0	0	992073.5637	0.0	7936588509.96
BGO	0.5	0.5	0.0	0.007	0	74449.1173	291665.1306	25.5255	2333321045.0
BGO	0.5	1	0.0	0.009	0	165089.579	577163.7261	28.6036	4617309808.76
BGO	0.5	2	0.0	0.009	0	308547.9702	1084210.102	28.4583	8673680815.8
BGO	1	0.5	0.0	0.042	0	74569.2174	235216.8056	31.7023	1881734444.48
BGO	1	1	0.0	0.051	0	180063.4211	492271.3608	36.5781	3938170886.76
BGO	1	2	0.0	0.055	0	379728.9614	977377.078	38.8518	7819016624.32
BGO	3	0.5	0.003	0.3	6367.7516	171403.7161	301640.0307	56.8239	2413120245.8
BGO	3	1	0.005	0.395	20146.4769	474432.4203	777107.2209	61.0511	6216857767.12
BGO	3	2	0.007	0.44	53877.2971	1072558.6097	1704132.9479	62.9387	13633063583.4801
BGO	5	0.5	0.011	0.337	20029.7023	193380.1976	340565.3409	56.7821	2724522727.52
BGO	5	1	0.015	0.527	57417.2197	638804.1001	1010576.0209	63.2119	8084608167.24
BGO	5	2	0.018	0.656	139061.3301	1623138.7529	2401088.2039	67.6001	19208705630.8398
BGO	10	0.5	0.011	0.19	32763.7945	182737.4549	364658.4686	50.1119	2917267748.56
BGO	10	1	0.015	0.344	94100.0342	668974.4973	1242421.8094	53.8444	9939374475.3599
BGO	10	2	0.017	0.518	220437.1415	1999786.9725	3378815.96	59.186	27030527680.2002
CsI	0.1	0.5	0.0	0.005	0	441127.0699	564116.8235	78.1978	30462308471.43
CsI	0.1	1	0.0	0.005	0	624070.6709	808003.6131	77.2361	43632195108.48
CsI	0.1	2	0.0	0.005	0	746984.5309	955947.7857	78.1407	51621180428.07
CsI	0.5	0.5	0.0	0.043	0	45734.8706	100484.5231	45.5143	5426164247.13
CsI	0.5	0.5	0.0	0.043	0	45734.8706	100484.5231	45.5143	5426164247.13
CsI	0.5	1	0.0	0.047	0	101867.6875	203988.9722	49.9378	11015404499.88
CsI	0.5	1	0.0	0.047	0	101867.6875	203988.9722	49.9378	11015404499.88
CsI	0.5	2	0.0	0.048	0	205675.1607	400147.9347	51.3998	21607988475.15
CsI	0.5	2	0.0	0.048	0	205675.1607	400147.9347	51.3998	21607988475.15
CsI	1	0.5	0.003	0.202	3532.4008	65724.81	106380.4904	61.7828	5744546479.98
CsI	1	0.5	0.003	0.2	3534.616	65604.1119	106427.0049	61.6424	5747058262.44
CsI	1	0.5	0.003	0.202	3532.4008	65724.81	106380.4904	61.7828	5744546479.98
CsI	1	1	0.003	0.213	7378.2717	148571.7317	229968.246	64.6053	12418285285.89
CsI	1	2	0.005	0.216	22147.1947	310691.5963	469428.2235	66.1851	25349124071.7
CsI	3	0.5	0.021	0.468	9765.1624	74596.7558	116215.5165	64.1883	6275637888.3
CsI	3	1	0.029	0.689	29122.2343	237755.7709	335174.2391	70.935	18099408912.7498
CsI	3	2	0.035	0.815	72258.3593	589365.6781	789518.0736	74.6488	42633975976.02
CsI	5	0.5	0.021	0.377	11642.8872	69560.2614	118294.9667	58.8024	6387928200.72
CsI	5	1	0.029	0.617	34904.3011	246407.7815	375723.8818	65.5821	20289089615.8499
CsI	5	2	0.035	0.837	88054.8684	694300.8257	963346.6541	72.0718	52020719321.6702
CsI	10	0.5	0.013	0.178	13965.7267	65286.0713	127167.9205	51.3385	6867067709.7
CsI	10	1	0.018	0.322	41705.1514	242328.9348	445818.6396	54.3559	24074206537.5899
CsI	10	2	0.021	0.51	103105.8814	769653.7015	1297785.4359	59.3052	70080413536.9802
LYSO	0.1	0.5	0.0	0.001	0	150520.5776	869059.2128	17.3199	34762368511.2
LYSO	0.1	1	0.0	0.001	0	169461.7052	979905.7073	17.2937	39196228293.2
LYSO	0.1	2	0.0	0.001	0	172116.4825	995553.2538	17.2885	39822130152.2
LYSO	0.5	0.5	0.0	0.021	0	95883.1486	232924.445	41.1649	9316977802.0
LYSO	0.5	1	0.0	0.023	0	202376.4466	463264.9682	43.6848	18530598728.4
LYSO	0.5	2	0.0	0.023	0	383233.7926	879532.2596	43.5725	35181290383.8
LYSO	1	0.5	0.0	0.098	0	118521.5163	218068.9193	54.3505	8722756772.4
LYSO	1	1	0.0	0.103	0	258938.3212	454963.6309	56.9141	18198545237.4
LYSO	1	2	0.0	0.105	0	524664.5094	902655.1601	58.1246	36106206404.4001
LYSO	3	0.5	0.013	0.377	20144.0429	194129.8556	302858.6043	64.0992	12114344171.5999
LYSO	3	1	0.017	0.481	54903.4773	528448.6547	780659.4152	67.6926	31226376607.7999
LYSO	3	2	0.019	0.533	123460.8498	1189648.5155	1710346.1676	69.556	68413846705.6002
LYSO	5	0.5	0.016	0.357	27691.9392	200782.1	338883.8888	59.2481	13555355552.2
LYSO	5	1	0.021	0.558	77261.2757	660980.0007	1007462.3193	65.6084	40298492770.7997
LYSO	5	2	0.025	0.689	185852.9236	1672078.9515	2399837.7928	69.6747	95993511713.0011
LYSO	10	0.5	0.011	0.185	34010.9105	184122.9922	362840.4278	50.7449	14513617111.4
LYSO	10	1	0.015	0.334	97400.2178	669667.4332	1240280.4736	53.9932	49611218943.0
LYSO	10	2	0.017	0.502	228378.4689	1996433.8846	3393683.6536	58.8279	135747346143.2006
