Mat	E (MeV)	Width	FWHM	 FWTM 
BGO	0.1		0.5	0.0	0.0
BGO	0.1		1	0.0	0.0
BGO	0.1		2	0.0	0.0
BGO	0.5		0.5	0.0	0.007
BGO	0.5		1	0.0	0.009
BGO	0.5		2	0.0	0.009
BGO	1		0.5	0.0	0.042
BGO	1		1	0.0	0.051
BGO	1		2	0.0	0.055
BGO	3		0.5	0.003	0.3
BGO	3		1	0.005	0.395
BGO	3		2	0.007	0.44
BGO	5		0.5	0.011	0.337
BGO	5		1	0.015	0.527
BGO	5		2	0.018	0.656
BGO	10		0.5	0.011	0.19
BGO	10		1	0.015	0.344
BGO	10		2	0.017	1.259
CsI	0.1		0.5	0.0	0.005
CsI	0.1		1	0.0	0.005
CsI	0.1		2	0.0	0.005
CsI	0.5		0.5	0.0	0.043
CsI	0.5		0.5	0.0	0.043
CsI	0.5		1	0.0	0.047
CsI	0.5		1	0.0	0.047
CsI	0.5		2	0.0	0.048
CsI	0.5		2	0.0	0.048
CsI	1		0.5	0.003	0.202
CsI	1		0.5	0.003	0.2
CsI	1		0.5	0.003	0.202
CsI	1		1	0.003	0.213
CsI	1		2	0.005	0.216
CsI	3		0.5	0.021	0.468
CsI	3		1	0.029	0.689
CsI	3		2	0.035	1.406
CsI	5		0.5	0.021	0.377
CsI	5		1	0.029	1.306
CsI	5		2	0.035	1.419
CsI	10		0.5	0.013	0.178
CsI	10		1	0.018	0.322
CsI	10		2	0.021	1.254
LYSO	0.1		0.5	0.0	0.001
LYSO	0.1		1	0.0	0.001
LYSO	0.1		2	0.0	0.001
LYSO	0.5		0.5	0.0	0.021
LYSO	0.5		1	0.0	0.023
LYSO	0.5		2	0.0	0.023
LYSO	1		0.5	0.0	0.098
LYSO	1		1	0.0	0.103
LYSO	1		2	0.0	0.105
LYSO	3		0.5	0.013	0.377
LYSO	3		1	0.017	0.481
LYSO	3		2	0.019	0.533
LYSO	5		0.5	0.016	0.357
LYSO	5		1	0.021	0.558
LYSO	5		2	0.025	0.689
LYSO	10		0.5	0.011	0.185
LYSO	10		1	0.015	0.334
LYSO	10		2	0.017	1.25
