Material	Energy (MeV)	Width	Entries	 DepEner (MeV)	 DepEnerPart (MeV/part) 	 N comp 	 scintillations 	 total scintills
BGO	0.1	0.5	741700	73185.138	0.099	755784.684	789.377	585481107.200
BGO	0.1	1	932826	92543.909	0.099	940358.879	793.665	740351270.560
BGO	0.1	2	995378	98979.817	0.099	996442.937	795.515	791838532.320
BGO	0.5	0.5	48246	14631.719	0.303	48113.525	2426.186	117053755.280
BGO	0.5	1	91330	30342.555	0.332	93912.138	2657.839	242740441.680
BGO	0.5	2	171806	61453.63	0.358	179004.787	2861.536	491629037.680
BGO	1	0.5	25319	10948.519	0.432	23934.125	3459.384	87588155.160
BGO	1	1	48203	24578.044	0.51	47295.408	4079.089	196624350.120
BGO	1	2	92002	52352.935	0.569	92353.96	4552.330	418823482.880
BGO	3	0.5	15229	9840.736	0.646	14246.642	5169.472	78725888.120
BGO	3	1	29244	32508.677	1.112	28290.318	8893.086	260069418.400
BGO	3	2	56534	85053.088	1.504	55780.294	12035.672	680424703.200
BGO	5	0.5	14589	9844.073	0.675	13669.068	5398.080	78752585.560
BGO	5	1	28260	38005.496	1.345	27151.293	10758.810	304043966.160
BGO	5	2	54868	123440.796	2.25	53565.393	17998.221	987526364.880
BGO	10	0.5	15798	9917.915	0.628	14960.266	5022.365	79343322.960
BGO	10	1	30807	41340.75	1.342	29696.723	10735.417	330725996.920
BGO	10	2	59968	165331.96	2.757	58511.551	22056.024	1322655676.320
CSI	0.1	0.5	352969	34075.292	0.097	368016.821	5213.109	1840065754.230
CSI	0.1	1	579259	56672.02	0.098	600597.261	5283.110	3060289054.350
CSI	0.1	2	821944	81223.12	0.099	840477.452	5336.189	4386048480.000
CSI	0.5	0.5	23387	4950.17	0.212	21876.457	11429.820	267309192.150
CSI	0.5	1	43855	10482.999	0.239	43274.335	12908.036	566081931.690
CSI	0.5	2	83162	21941.315	0.264	84676.002	14247.264	1184830992.180
CSI	1	0.5	14934	4732.622	0.317	13100.669	17112.733	255561562.080
CSI	1	1	27736	11179.311	0.403	26029.711	21765.316	603682799.940
CSI	1	2	52465	24125.558	0.46	51381.876	24831.414	1302780125.790
CSI	3	0.5	9426	3599.809	0.382	8355.75	20622.715	194389707.600
CSI	3	1	17726	13174.569	0.743	16641.682	40134.645	711426713.580
CSI	3	2	34165	40490.142	1.185	33006.417	63997.297	2186467653.150
CSI	5	0.5	8920	3406.614	0.382	8134.346	20622.999	183957148.980
CSI	5	1	17075	13853.369	0.811	16202.524	43811.532	748081904.130
CSI	5	2	33068	51422.718	1.555	32142.526	83973.231	2776826786.580
CSI	10	0.5	9638	3566.448	0.37	9046.482	19982.175	192588200.640
CSI	10	1	18664	14282.154	0.765	18011.125	41322.134	771236318.160
CSI	10	2	36402	59606.751	1.637	35697.85	88422.739	3218764544.820
LYSO	0.1	0.5	649348	64026.83	0.099	603468.581	3944.069	2561073200.400
LYSO	0.1	1	876529	87007.819	0.099	842762.834	3970.562	3480312759.000
LYSO	0.1	2	984653	98081.232	0.1	975276.474	3984.398	3923249279.400
LYSO	0.5	0.5	43382	11683.406	0.269	40131.516	10772.584	467336258.400
LYSO	0.5	1	82313	24397.032	0.296	78652.494	11855.737	975881299.800
LYSO	0.5	2	155127	50073.508	0.323	151118.773	12911.616	2002940308.600
LYSO	1	0.5	25101	10253.969	0.409	22924.742	16340.336	410158775.400
LYSO	1	1	47560	22667.121	0.477	45323.94	19064.021	906684847.200
LYSO	1	2	90851	48275.586	0.531	88593.62	21254.840	1931023435.000
LYSO	3	0.5	15348	9894.132	0.645	14129.429	25786.113	395765264.400
LYSO	3	1	29554	32379.815	1.096	28059.218	43824.613	1295192610.800
LYSO	3	2	57142	84555.136	1.48	55331.116	59189.483	3382205442.000
LYSO	5	0.5	14493	9811.898	0.677	13395.965	27080.379	392475927.800
LYSO	5	1	28079	37552.324	1.337	26612.477	53495.244	1502092946.200
LYSO	5	2	54557	121099.03	2.22	52516.731	88787.162	4843961207.800
LYSO	10	0.5	15439	9833.258	0.637	14395.677	25476.413	393330337.400
LYSO	10	1	30093	40718.942	1.353	28584.118	54124.138	1628757682.200
LYSO	10	2	58476	161542.563	2.763	56351.185	110501.787	6461702517.600
