Mat	E (MeV)	Width	FWHM	FWTM	eHalf	eTen	eDep	raport	scintillations	entries	entriesComputed	entriesRatio	analiticalRatio	energyRatio
BGO	0.1	0.5	0.0	0.0	675217.6171	675217.6171	729613.4215	92.5446	5836907372.1762	7409641.0	7557846.8395	74.0964	75.5785	72.9613
BGO	0.1	1.0	0.0	0.0	851063.0508	851063.0508	922879.2311	92.2182	7383033848.9202	9326677.0	9403588.7941	93.2668	94.0359	92.2879
BGO	0.1	2	0.0	0.0	908653.2618	908653.2618	986740.9607	92.0863	7893927685.8633	9954580.0	9964429.3673	99.5458	99.6443	98.6741
BGO	0.1	4	0.0	0.0	912811.0237	912811.0237	991395.0655	92.0734	7931160523.8264	9999783.0	9999873.473	99.9978	99.9987	99.1395
BGO	0.5	0.5	0.0	0.005	21228.2033	33822.2538	138299.1242	24.4559	1106392993.5174	479497.0	481135.2476	4.795	4.8114	2.766
BGO	0.5	1.0	0.0	0.007	42230.2476	79329.386	287780.3718	27.5659	2302242974.7695	911460.0	939121.3826	9.1146	9.3912	5.7556
BGO	0.5	2	0.0	0.009	81574.9124	174991.3123	573344.2389	30.5212	4586753911.3184	1718043.0	1790047.868	17.1804	17.9005	11.4669
BGO	0.5	4	0.0	0.009	150247.7727	327868.7641	1080480.3448	30.3447	8643842758.6949	3123623.0	3259668.5991	31.2362	32.5967	21.6096
BGO	1	0.5	0.0	0.033	5315.8512	29738.3409	101910.2629	29.1809	815282103.2764	252749.0	239341.2503	2.5275	2.3934	1.0191
BGO	1	1.0	0.0	0.042	10738.6263	75647.4798	232074.7931	32.5962	1856598344.4551	480992.0	472954.0772	4.8099	4.7295	2.3207
BGO	1	2	0.0	0.051	21447.1642	182211.7703	489147.8083	37.2509	3913182466.2818	920851.0	923539.5985	9.2085	9.2354	4.8915
BGO	1	4	0.0	0.055	41615.5468	386237.8728	974228.5699	39.6455	7793828559.4694	1739576.0	1761786.6579	17.3958	17.6179	9.7423
BGO	3	0.5	0.001	0.178	2161.8066	47396.5574	88654.088	53.4623	709232704.2772	151885.0	142466.4231	1.5188	1.4247	0.2955
BGO	3	1.0	0.003	0.298	7911.6208	170601.1352	296280.6637	57.5809	2370245309.4032	291035.0	282903.178	2.9104	2.829	0.9876
BGO	3	2	0.005	0.393	23346.5237	473679.1195	771351.4787	61.409	6170811829.6848	562668.0	557802.9352	5.6267	5.578	2.5712
BGO	3	4	0.007	0.445	60134.6588	1079385.0806	1697109.6683	63.6014	13576877346.7835	1083259.0	1084491.4589	10.8326	10.8449	5.657
BGO	5	0.5	0.007	0.176	6566.9941	47503.0567	86618.8756	54.8415	692951004.8975	145373.0	136690.6814	1.4537	1.3669	0.1732
BGO	5	1.0	0.011	0.341	21388.8548	194638.1545	331737.3001	58.6724	2653898400.5491	280614.0	271512.9285	2.8061	2.7151	0.6635
BGO	5	2	0.015	0.531	60402.5722	641797.5335	996904.7723	64.379	7975238178.6522	545347.0	535653.93	5.4535	5.3565	1.9938
BGO	5	4	0.018	0.657	145040.6023	1624699.8336	2381055.8488	68.2344	19048446790.2059	1052009.0	1042615.3468	10.5201	10.4262	4.7621
BGO	10	0.5	0.007	0.096	10870.618	45662.1867	85259.1913	53.5569	682073530.5511	157391.0	149602.6646	1.5739	1.496	0.0853
BGO	10	1.0	0.011	0.189	34939.1501	182670.9959	349787.0144	52.2235	2798296115.5464	306498.0	296967.2334	3.065	2.9697	0.3498
BGO	10	2	0.015	0.347	98733.9367	672402.0662	1215357.9183	55.3254	9722863346.2001	597832.0	585115.513	5.9783	5.8512	1.2154
BGO	10	4	0.017	0.516	230402.4231	1996299.8946	3329816.2511	59.9523	26638530009.0825	1153301.0	1135995.0097	11.533	11.36	3.3298
CsI	0.1	0.5	0.0	0.005	147993.6899	286155.667	337052.3646	84.8995	18200827688.6385	3522842.0	3680168.2056	35.2284	36.8017	33.7052
CsI	0.1	1.0	0.0	0.005	245601.0229	478949.2766	562010.2869	85.2207	30348555492.1982	5783709.0	6005972.6091	57.8371	60.0597	56.201
CsI	0.1	2	0.0	0.005	350540.8101	686286.2659	806276.4175	85.118	43538926545.3809	8215508.0	8404774.52	82.1551	84.0477	80.6276
CsI	0.1	4	0.0	0.005	413792.2698	811317.7256	954450.7044	85.0036	51540338038.8384	9680339.0	9745525.5668	96.8034	97.4553	95.4451
CsI	0.5	0.5	0.0	0.037	2656.9153	19106.0952	45002.9706	42.4552	2430160411.0529	233833.0	218764.5716	2.3383	2.1876	0.9001
CsI	0.5	1.0	0.0	0.042	5501.2048	45882.0191	97474.0681	47.071	5263599679.8882	437129.0	432743.3494	4.3713	4.3274	1.9495
CsI	0.5	2	0.0	0.046	11091.5535	102946.3732	200959.9799	51.2273	10851838912.5233	831362.0	846760.0181	8.3136	8.4676	4.0192
CsI	0.5	4	0.0	0.047	21564.0067	208235.1073	397075.5666	52.4422	21442080593.904	1569859.0	1621819.7834	15.6986	16.2182	7.9415
CsI	1	0.5	0.001	0.164	1248.7788	25068.825	41529.7074	60.3636	2242604197.2084	148432.0	131006.6931	1.4843	1.3101	0.4153
