Mat	E (MeV)	Width	FWHM	 FWTM 
BGO	0.1		0.5	0.0	0.0
BGO	0.1		1.0	0.0	0.0
BGO	0.1		2	0.0	0.0
BGO	0.1		4	0.0	0.0
BGO	0.5		0.5	0.0	0.005
BGO	0.5		1.0	0.0	0.007
BGO	0.5		2	0.0	0.009
BGO	0.5		4	0.0	0.009
BGO	1		0.5	0.0	0.033
BGO	1		1.0	0.0	0.042
BGO	1		2	0.0	0.051
BGO	1		4	0.0	0.055
BGO	3		0.5	0.001	0.178
BGO	3		1.0	0.003	0.298
BGO	3		2	0.005	0.393
BGO	3		4	0.007	0.445
BGO	5		0.5	0.007	0.176
BGO	5		1.0	0.011	0.341
BGO	5		2	0.015	0.531
BGO	5		4	0.018	0.657
BGO	10		0.5	0.007	0.096
BGO	10		1.0	0.011	0.189
BGO	10		2	0.015	0.347
BGO	10		4	0.017	0.516
CsI	0.1		0.5	0.0	0.005
CsI	0.1		1.0	0.0	0.005
CsI	0.1		2	0.0	0.005
CsI	0.1		4	0.0	0.005
CsI	0.5		0.5	0.0	0.037
CsI	0.5		1.0	0.0	0.042
CsI	0.5		2	0.0	0.046
CsI	0.5		4	0.0	0.047
CsI	1		0.5	0.001	0.164
CsI	1		1.0	0.003	0.202
CsI	1		2	0.003	0.213
CsI	1		4	0.005	0.216
CsI	3		0.5	0.014	0.27
CsI	3		1.0	0.021	0.475
CsI	3		2	0.031	0.703
CsI	3		4	0.035	0.825
CsI	5		0.5	0.013	0.198
CsI	5		1.0	0.021	0.375
CsI	5		2	0.029	0.633
CsI	5		4	0.035	0.839
CsI	10		0.5	0.009	0.09
CsI	10		1.0	0.013	0.179
CsI	10		2	0.017	0.324
CsI	10		4	0.021	0.508
LYSO	0.1		0.5	0.0	0.001
LYSO	0.1		1.0	0.0	0.001
LYSO	0.1		2	0.0	0.001
LYSO	0.1		4	0.0	0.001
LYSO	0.5		0.5	0.0	0.017
LYSO	0.5		1.0	0.0	0.021
LYSO	0.5		2	0.0	0.023
LYSO	0.5		4	0.0	0.023
LYSO	1		0.5	0.0	0.087
LYSO	1		1.0	0.0	0.096
LYSO	1		2	0.0	0.102
LYSO	1		4	0.0	0.104
LYSO	3		0.5	0.009	0.232
LYSO	3		1.0	0.013	0.377
LYSO	3		2	0.017	0.481
LYSO	3		4	0.019	0.533
LYSO	5		0.5	0.011	0.189
LYSO	5		1.0	0.017	0.36
LYSO	5		2	0.021	0.559
LYSO	5		4	0.025	0.686
LYSO	10		0.5	0.009	0.096
LYSO	10		1.0	0.011	0.185
LYSO	10		2	0.015	0.334
LYSO	10		4	0.017	0.502
