Mat	E (MeV)	Width	DimX	EnerX	eDep	raport
BGO	0.1	0.5	0.001	676813.6432	729778.9981	92.7423
BGO	0.1	1.0	0.001	853133.16	923009.2371	92.4295
BGO	0.1	2	0.001	910875.8862	986859.3925	92.3005
BGO	0.1	4	0.001	915043.8721	991512.4899	92.2877
BGO	0.5	0.5	0.101	112830.6233	140239.3345	80.4558
BGO	0.5	1.0	0.091	233312.0791	289704.9523	80.5344
BGO	0.5	2	0.087	462872.5838	575235.3968	80.4666
BGO	0.5	4	0.087	869881.6826	1082308.1031	80.3728
BGO	1	0.5	0.233	82808.1945	103466.1785	80.0341
BGO	1	1.0	0.239	187133.6282	233652.4241	80.0906
BGO	1	2	0.233	393391.5568	490717.3265	80.1666
BGO	1	4	0.227	782428.785	975806.0467	80.1828
BGO	3	0.5	0.491	72711.0364	90780.5348	80.0954
BGO	3	1.0	0.641	239393.4348	299034.3549	80.0555
BGO	3	2	0.715	619861.6911	774493.026	80.0345
BGO	3	4	0.745	1361036.102	1700921.6436	80.0176
BGO	5	0.5	0.525	71569.0423	89440.2392	80.0188
BGO	5	1.0	0.739	269119.1894	336293.8739	80.025
BGO	5	2	0.881	803543.6482	1003680.53	80.0597
BGO	5	4	0.941	1913723.6736	2391490.4977	80.0222
BGO	10	0.5	0.421	71357.7175	89190.5267	80.0059
BGO	10	1.0	0.645	285965.9267	357158.9833	80.0668
BGO	10	2	0.859	983474.7506	1228954.2596	80.0253
BGO	10	4	0.991	2685217.2403	3354894.2023	80.0388
CsI	0.1	0.5	0.005	275351.4635	338196.2405	81.4177
CsI	0.1	1.0	0.005	460329.9942	562930.5781	81.7738
CsI	0.1	2	0.005	659301.9211	806957.3611	81.7022
CsI	0.1	4	0.005	779270.7061	954982.0355	81.6006
CsI	0.5	0.5	0.169	37324.646	46500.2811	80.2676
CsI	0.5	1.0	0.159	79349.7433	98962.6367	80.1815
CsI	0.5	2	0.143	162291.7458	202456.1991	80.1614
CsI	0.5	4	0.137	319029.8161	398581.3186	80.0413
CsI	1	0.5	0.339	34335.0444	42870.1431	80.0908
CsI	1	1.0	0.353	84176.795	105042.7595	80.1357
CsI	1	2	0.345	183185.3627	228636.9065	80.1206
CsI	1	4	0.335	374774.7753	468067.5695	80.0685
CsI	3	0.5	0.587	25238.9772	31544.7904	80.01
CsI	3	1.0	0.773	91190.3572	113960.7347	80.0191
CsI	3	2	0.893	265356.0579	331630.507	80.0156
CsI	3	4	0.943	627809.4771	784620.3622	80.0144
CsI	5	0.5	0.587	23882.7502	29843.7033	80.0261
CsI	5	1.0	0.785	92141.4394	115106.0452	80.0492
CsI	5	2	0.951	296522.5434	370469.6473	80.0396
CsI	5	4	1.035	763494.7065	954053.2601	80.0264
CsI	10	0.5	0.455	24777.2593	30957.5086	80.0363
CsI	10	1.0	0.617	97915.8526	122324.3179	80.0461
CsI	10	2	0.829	349823.4279	437020.7817	80.0473
CsI	10	4	0.991	1026118.7166	1282087.6855	80.035
LYSO	0.1	0.5	0.003	616373.1869	638414.8441	96.5474
LYSO	0.1	1.0	0.003	834932.6832	868433.508	96.1424
LYSO	0.1	2	0.003	939221.8542	979272.6438	95.9101
LYSO	0.1	4	0.003	953815.5797	994919.229	95.8686
LYSO	0.5	0.5	0.101	89570.0706	111484.9984	80.3427
LYSO	0.5	1.0	0.093	185711.7411	231221.3783	80.3177
LYSO	0.5	2	0.091	370577.6001	461580.1776	80.2846
LYSO	0.5	4	0.093	705205.3394	877846.1518	80.3336
LYSO	1	0.5	0.219	77410.089	96641.1684	80.1005
LYSO	1	1.0	0.223	173667.5035	216674.614	80.1513
LYSO	1	2	0.217	363729.5866	453370.7486	80.2278
LYSO	1	4	0.213	721680.6601	901172.6124	80.0824
LYSO	3	0.5	0.479	72721.0522	90856.194	80.0397
LYSO	3	1.0	0.631	240268.7748	300164.0286	80.0458
LYSO	3	2	0.707	622512.0558	777625.7626	80.0529
LYSO	3	4	0.737	1366679.0669	1706770.7171	80.074
LYSO	5	0.5	0.509	71373.2104	89204.881	80.0104
LYSO	5	1.0	0.725	267548.3198	334411.1806	80.0058
LYSO	5	2	0.871	801182.2459	1000860.628	80.0493
LYSO	5	4	0.933	1913389.4184	2389991.4492	80.0584
LYSO	10	0.5	0.405	71368.8413	89156.8867	80.0486
LYSO	10	1.0	0.621	284864.7051	355840.1818	80.0541
LYSO	10	2	0.841	982365.2165	1227737.6861	80.0143
LYSO	10	4	0.981	2698862.7771	3371449.7269	80.0505
